raceId,round,name,surname,url_y,sprint_points,total_points,season_points
1053,2,Emilia Romagna Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,0.0,16.0
1054,3,Portuguese Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,16.0,32.0
1055,4,Spanish Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,15.0,47.0
1056,5,Monaco Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,0.0,47.0
1057,6,Azerbaijan Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,0.0,47.0
1059,7,French Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,12.0,59.0
1058,8,Styrian Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,15.0,74.0
1060,9,Austrian Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,18.0,92.0
1061,10,British Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,1.0,16.0,107.0
1062,11,Hungarian Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,0.0,107.0
1063,12,Belgian Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,0.0,107.0
1064,13,Dutch Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,15.0,122.0
1065,14,Italian Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,3.0,18.0,137.0
1066,15,Russian Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,10.0,147.0
1067,16,Turkish Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,26.0,173.0
1069,17,United States Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,8.0,181.0
1070,18,Mexico City Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,0.0,181.0
1071,19,São Paulo Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,3.0,18.0,196.0
1051,20,Qatar Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,0.0,196.0
1072,21,Saudi Arabian Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,15.0,211.0
1073,22,Abu Dhabi Grand Prix,Bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,0.0,8.0,219.0
1052,1,Bahrain Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,10.0,10.0
1053,2,Emilia Romagna Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,0.0,10.0
1054,3,Portuguese Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,12.0,22.0
1055,4,Spanish Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,10.0,32.0
1056,5,Monaco Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,12.0,44.0
1057,6,Azerbaijan Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,25.0,69.0
1059,7,French Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,15.0,84.0
1058,8,Styrian Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,12.0,96.0
1060,9,Austrian Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,8.0,104.0
1061,10,British Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,0.0,104.0
1062,11,Hungarian Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,0.0,104.0
1063,12,Belgian Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,0.0,104.0
1064,13,Dutch Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,4.0,108.0
1065,14,Italian Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,10.0,118.0
1066,15,Russian Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,2.0,120.0
1067,16,Turkish Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,15.0,135.0
1069,17,United States Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,15.0,150.0
1070,18,Mexico City Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,15.0,165.0
1071,19,São Paulo Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,13.0,178.0
1051,20,Qatar Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,12.0,190.0
1072,21,Saudi Arabian Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,0.0,190.0
1073,22,Abu Dhabi Grand Prix,Pérez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,0.0,0.0,190.0
1052,1,Bahrain Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,4.0,4.0
1053,2,Emilia Romagna Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,10.0,14.0
1054,3,Portuguese Grand Prix,Sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,0.0,0.0,14.0
